    PID TTY          TIME CMD
   4985 ?        00:00:00 code
   5021 ?        00:00:31 code
   5037 ?        00:00:04 code
   5038 ?        00:00:02 code
   5057 ?        00:00:03 code
   5102 ?        00:00:00 kworker/5:0-events
   5128 ?        00:00:00 kworker/3:1
   5736 ?        00:00:01 kworker/u32:2-events_power_efficient
   5777 ?        00:00:00 kworker/1:0-mm_percpu_wq
   5852 ?        00:00:40 gnome-terminal-
   5859 pts/0    00:00:00 bash
   5875 ?        00:00:00 kworker/4:2-events
   5981 ?        00:00:00 kworker/u33:1-rtw_tx_wq
   5985 ?        00:00:28 brave
   5994 ?        00:00:07 brave
   6024 ?        00:00:01 kworker/u32:1-i915
   6045 ?        00:00:00 kworker/0:0-i915-unordered
   6077 ?        00:00:00 kworker/1:1
   6098 ?        00:00:01 kworker/u33:2-rtw_tx_wq
   6102 ?        00:00:00 brave
   6114 ?        00:00:00 kworker/u32:3-events_unbound
   6120 ?        00:00:00 kworker/7:1-cgroup_destroy
   6134 ?        00:00:00 kworker/2:0-cgroup_destroy
   6360 ?        00:00:00 kworker/6:2
   6368 ?        00:00:36 snap-store
   6626 pts/1    00:00:00 bash
   6688 ?        00:00:00 packagekitd
   6802 ?        00:00:00 kworker/u33:0-i915_flip
   7568 ?        00:00:00 kworker/5:2-events
   8100 ?        00:00:00 kworker/0:2-events
   8598 pts/0    00:00:00 ps
